__NONE_PoS__ __NONE_Word__ Confidence __NONE_Word__ NN true __NONE_PoS__  I
__NONE_PoS__ Confidence in __NONE_Word__ IN false NN  O
NN in the Confidence DT false IN  I
IN the pound in NN false DT  I
DT pound is the VBZ false NN  O
NN is widely pound RB false VBZ  O
VBZ widely expected is VBN false RB  O
RB expected to widely TO false VBN  O
VBN to take expected VB false TO  O
TO take another to DT false VB  I
VB another sharp take JJ false DT  I
DT sharp dive another NN false JJ  I
JJ dive if sharp IN false NN  O
NN if trade dive NN false IN  I
IN trade figures if NNS false NN  I
NN figures for trade IN false NNS  O
NNS for September figures NNP true IN  I
IN September , for , false NNP  O
NNP , due September JJ false ,  O
, due for , IN false JJ  O
JJ for release due NN false IN  I
IN release tomorrow for NN false NN  B
NN tomorrow , release , false NN  O
NN , fail tomorrow VB false ,  O
, fail to , TO false VB  O
VB to show fail VB false TO  O
TO show a to DT false VB  I
VB a substantial show JJ false DT  I
DT substantial improvement a NN false JJ  I
JJ improvement from substantial IN false NN  O
NN from July improvement NNP true IN  I
IN July and from CC false NNP  I
NNP and August July NNP true CC  I
CC August 's and POS false NNP  B
NNP 's near-record August JJ false POS  I
POS near-record deficits 's NNS false JJ  I
JJ deficits . near-record . false NNS  O
__NONE_PoS__ __NONE_Word__ Chancellor __NONE_Word__ NNP true __NONE_PoS__  O
__NONE_PoS__ Chancellor of __NONE_Word__ IN false NNP  O
NNP of the Chancellor DT false IN  I
IN the Exchequer of NNP true DT  I
DT Exchequer Nigel the NNP true NNP  O
NNP Nigel Lawson Exchequer NNP true NNP  O
NNP Lawson 's Nigel POS false NNP  I
NNP 's restated Lawson VBN false POS  I
POS restated commitment 's NN false VBN  I
VBN commitment to restated TO false NN  O
NN to a commitment DT false TO  I
TO a firm to NN false DT  I
DT firm monetary a JJ false NN  I
NN monetary policy firm NN false JJ  I
JJ policy has monetary VBZ false NN  O
NN has helped policy VBN false VBZ  O
VBZ helped to has TO false VBN  O
VBN to prevent helped VB false TO  O
TO prevent a to DT false VB  I
VB a freefall prevent NN false DT  I
DT freefall in a IN false NN  O
NN in sterling freefall NN false IN  I
IN sterling over in IN false NN  O
NN over the sterling DT false IN  I
IN the past over JJ false DT  I
DT past week the NN false JJ  I
JJ week . past . false NN  O
__NONE_PoS__ __NONE_Word__ But __NONE_Word__ CC true __NONE_PoS__  O
__NONE_PoS__ But analysts __NONE_Word__ NNS false CC  I
CC analysts reckon But VBP false NNS  O
NNS reckon underlying analysts VBG false VBP  I
VBP underlying support reckon NN false VBG  I
VBG support for underlying IN false NN  O
NN for sterling support NN false IN  I
IN sterling has for VBZ false NN  O
NN has been sterling VBN false VBZ  O
VBZ been eroded has VBN false VBN  O
VBN eroded by been IN false VBN  O
VBN by the eroded DT false IN  I
IN the chancellor by NN false DT  I
DT chancellor 's the POS false NN  B
NN 's failure chancellor NN false POS  I
POS failure to 's TO false NN  O
NN to announce failure VB false TO  O
TO announce any to DT false VB  I
VB any new announce JJ false DT  I
DT new policy any NN false JJ  I
JJ policy measures new NNS false NN  I
NN measures in policy IN false NNS  O
NNS in his measures PRP$ false IN  I
IN his Mansion in NNP true PRP$  I
PRP$ Mansion House his NNP true NNP  I
NNP House speech Mansion NN false NNP  I
NNP speech last House JJ false NN  B
NN last Thursday speech NNP true JJ  I
JJ Thursday . last . false NNP  O
__NONE_PoS__ __NONE_Word__ This __NONE_Word__ DT true __NONE_PoS__  I
__NONE_PoS__ This has __NONE_Word__ VBZ false DT  O
DT has increased This VBN false VBZ  O
VBZ increased the has DT false VBN  I
VBN the risk increased NN false DT  I
DT risk of the IN false NN  O
NN of the risk DT false IN  I
IN the government of NN false DT  I
DT government being the VBG false NN  O
NN being forced government VBN false VBG  O
VBG forced to being TO false VBN  O
VBN to increase forced VB false TO  O
TO increase base to NN false VB  I
VB base rates increase NNS false NN  I
NN rates to base TO false NNS  O
NNS to 16 rates CD false TO  I
TO 16 % to NN false CD  I
CD % from 16 IN false NN  O
NN from their % PRP$ false IN  I
IN their current from JJ false PRP$  I
PRP$ current 15 their CD false JJ  I
JJ 15 % current NN false CD  I
CD % level 15 NN false NN  I
NN level to % TO false NN  O
NN to defend level VB false TO  O
TO defend the to DT false VB  I
VB the pound defend NN false DT  I
DT pound , the , false NN  O
NN , economists pound NNS false ,  I
, economists and , CC false NNS  O
NNS and foreign economists JJ false CC  I
CC foreign exchange and NN false JJ  I
JJ exchange market foreign NN false NN  I
NN market analysts exchange NNS false NN  I
NN analysts say market VBP false NNS  O
NNS say . analysts . false VBP  O
__NONE_PoS__ __NONE_Word__ `` __NONE_Word__ `` false __NONE_PoS__  O
__NONE_PoS__ `` The __NONE_Word__ DT true ``  I
`` The risks `` NNS false DT  I
DT risks for The IN false NNS  O
NNS for sterling risks NN false IN  I
IN sterling of for IN false NN  O
NN of a sterling DT false IN  I
IN a bad of JJ false DT  I
DT bad trade a NN false JJ  I
JJ trade figure bad NN false NN  I
NN figure are trade VBP false NN  O
NN are very figure RB false VBP  O
VBP very heavily are RB false RB  O
RB heavily on very IN false RB  O
RB on the heavily DT false IN  I
IN the down on JJ false DT  I
DT down side the NN false JJ  I
JJ side , down , false NN  O
NN , '' side '' false ,  O
, '' said , VBD false ''  O
'' said Chris '' NNP true VBD  I
VBD Chris Dillow said NNP true NNP  I
NNP Dillow , Chris , false NNP  O
NNP , senior Dillow JJ false ,  I
, senior U.K. , NNP true JJ  I
JJ U.K. economist senior NN false NNP  I
NNP economist at U.K. IN false NN  O
